gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Rnf149,40.762061427750446,1.5288678023115008,0.42516325698589386,3.5959546766813526,0.000323204073390076,0.04952051643318103,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Fhl2,318.6245562087989,1.0125284461027946,0.2190981697418095,4.6213459806441195,3.812583309692494e-06,0.002352564564359726,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Aox3,94.97416866773109,-1.4467795357539521,0.2900403943860983,-4.98820013955717,6.094441470539177e-07,0.0005954269316716776,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Adam23,228.00508669004316,-1.088205990879892,0.26528125519333806,-4.102083994162358,4.094455746190175e-05,0.013334277546759336,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ackr3,1450.8147012367756,0.9696856433825075,0.22709920826533989,4.269876811941762,1.955809612943437e-05,0.008000425210868993,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Rgs4,13.054142423206487,3.607907487217538,0.9325033387400335,3.869055838547901,0.00010925762054281524,0.02416861024988615,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Hmcn2,1127.5175715445994,0.9039497875713025,0.23638922770112333,3.8239889201474258,0.00013130981820260625,0.02609281878995518,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ptgs1,95.34400612271067,1.2910842324402374,0.2930522960455917,4.405644486878126,1.054698217233555e-05,0.004946112759538479,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Pamr1,531.0096873195206,0.7419094696027729,0.19349439724071701,3.834268486233218,0.0001259385243767295,0.02574993157851482,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cd44,215.8639432969252,0.9425291131983821,0.25984213785543253,3.6273143416129594,0.00028638455989381885,0.045994144934179894,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Grem1,9.083985391192805,-5.636399328821063,1.465326654831651,-3.8465138883784373,0.00011981034244902127,0.025083150979862953,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Thbs1,1243.3987666721243,1.0865509394294817,0.27658148699042256,3.9285020528763974,8.54766212514761e-05,0.021785389294615345,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ccn5,599.7967906366779,1.398246520198072,0.2828952417101967,4.942630041230819,7.707566049757952e-07,0.0006454536026240159,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Pmepa1,1384.1875753646636,0.8845071069109737,0.19727013895258044,4.48373540773746,7.334760227748872e-06,0.0036363618659562263,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Noct,179.26749525533782,1.048838097535835,0.27104739217039814,3.8695745756390325,0.00010902542933966863,0.02416861024988615,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Postn,2595.7301648515963,1.5351788361229792,0.18821284214655415,8.156610455558576,3.4455740495619706e-16,4.039591015706454e-12,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
P2ry1,56.25883221821885,-1.3703768770838791,0.3523399755494203,-3.8893596304165774,0.00010050908298153014,0.02389963025438328,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Gdf6,33.37270239261536,2.1513972103647663,0.5574044007040598,3.8596702997811425,0.00011354010865835011,0.024476731694029596,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Nr4a3,2048.658352353175,1.0056870227431096,0.2649612578885298,3.7956002728753866,0.00014728664854509485,0.02830801094332282,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Tnc,12.41284243012692,3.2277157307590185,0.8316394697485129,3.8811478389007643,0.00010396461471968162,0.02389963025438328,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Adamtsl1,217.36008439410975,-0.9752438478851112,0.24506263358441333,-3.9795697680249673,6.90400972199425e-05,0.019222716608188747,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Hacd4,100.74369129877384,1.0717624145224236,0.2778805840147314,3.8569172377498875,0.00011482601869427054,0.024476731694029596,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Gnai1,98.97294419925906,-1.4081945777748734,0.309146597972023,-4.555102941492862,5.235993040009199e-06,0.003069339120053393,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Fgl2,673.2330327698729,-0.8599121456960901,0.23928707514384728,-3.593642260783013,0.0003260874769521757,0.04952051643318103,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Limch1,62.71866853067099,1.2719033371941284,0.34702149740565974,3.6652004175617514,0.0002471449649772172,0.04139325099132707,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Inmt,1212.32673854904,-0.9378161122664733,0.22299595735234956,-4.205529658031678,2.604714271651193e-05,0.009253839430557147,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Fbln2,6079.243324695049,0.6969281849133442,0.18539322713026735,3.7591890259488534,0.00017046501312240663,0.03172272720392215,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Pcsk6,260.6815585463368,0.8056646949634003,0.2180599690270036,3.6946932468087725,0.00022015240597705483,0.037406765328623054,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Nox4,164.93916160936993,1.246861219734609,0.26860571596422983,4.641975749691988,3.4509337070422647e-06,0.002352564564359726,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Spon1,192.45211152683274,-1.3714371970454962,0.32571504406189045,-4.210542994707065,2.5475763259921848e-05,0.009253839430557147,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Rras2,89.28311890468677,1.2929250565828523,0.30000318807087234,4.309704389799395,1.6347291320275562e-05,0.007371370901496564,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Crlf1,38.01773120249428,2.489287540601321,0.5956877955036373,4.178845964934867,2.929920352975714e-05,0.010103054770084491,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cdh13,137.91588092209582,-1.0369202850146026,0.26693336102199233,-3.8845660993613014,0.00010251280125164976,0.02389963025438328,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Agt,306.28777719398084,-1.6450335451395042,0.2509702689484168,-6.554694912797087,5.5755746944481916e-11,1.0894672952951767e-07,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Mmp3,242.15520166711372,1.3150369324430031,0.32143869008622206,4.09109722320689,4.2933708437414625e-05,0.013494296416940185,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Opcml,59.49430973134374,-1.3878165287955397,0.32522484994481915,-4.26725242253478,1.9789519883589286e-05,0.008000425210868993,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Thy1,187.65156018737204,1.428585611321797,0.3088595301451086,4.625357069767664,3.7395360950657786e-06,0.002352564564359726,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Loxl1,2505.1857028716554,0.6648362260181947,0.1818881435801704,3.655192762606631,0.00025698881026105106,0.042435729739444546,3,3,SH_vs_SC,Areg,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
