gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Npas2,19.96085998294382,-3.615540457365834,0.6677225476675592,-5.4147347127865935,6.137964026969328e-08,3.0162513225257005e-05,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col3a1,33996.993896888736,-0.928125141377822,0.2040615627055106,-4.548260481162916,5.409115955118849e-06,0.0012442117572508485,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col5a2,2312.630578272014,-0.6943095468790378,0.1956667626476277,-3.548428652286775,0.00038753697417342954,0.03794763663721785,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Stk17b,9.800054190078002,4.9041707934858785,1.2271931331645605,3.9962501915566486,6.435372166526367e-05,0.009276374465642208,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fn1,10882.491791089325,-0.6302705221577715,0.18074978219089244,-3.4869780451084234,0.0004885114587036588,0.046327170000396975,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Igfbp5,101.06664455910332,-2.649248962735722,0.43824778986076185,-6.045093721014381,1.4932317520079267e-09,1.4675753155416088e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fmo1,582.2785708349721,0.6812776261038904,0.18666622017882453,3.649710298152674,0.000262536230556932,0.028669486753040326,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Rgs4,14.412835547806774,-4.128684731284184,0.8910248147347792,-4.63363608174383,3.592983859818175e-06,0.0009458921610083319,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ephx1,301.21497713277205,0.9840199395346351,0.22793164226891763,4.317171278806791,1.580415215478976e-05,0.0028154077964644814,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Prrx2,140.71163560640255,-0.9411970782030543,0.2704800439877329,-3.4797283538069093,0.0005019224208201861,0.04718507209988724,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fbn1,6231.3176276049335,-0.967462123190852,0.26087258545361003,-3.7085618694222355,0.00020843973375147488,0.024493934365078206,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Procr,364.893792968647,1.1888495367812781,0.28886502555037397,4.115588360052123,3.861930114786246e-05,0.005798795343188071,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ccn5,713.7094114850083,-1.3224114712268182,0.2842093785318112,-4.652948041539742,3.2722272295705167e-06,0.0009193922080195098,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Postn,3162.4364167545114,-1.3289433972469344,0.19720245521628615,-6.738979977654874,1.5950237758431792e-11,2.1554752550800764e-08,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tm4sf1,512.9496832414937,-1.0529373453868092,0.20950750632218468,-5.025773843957561,5.014065069701421e-07,0.00017902015397092014,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Arhgap29,222.37558125168826,-1.0047835596843633,0.2123858718012991,-4.730934083150334,2.2348908795047834e-06,0.0006903258656664633,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Cntfr,32.31347749283532,1.6116787759163516,0.42481906645256284,3.7938004745752596,0.00014835890458235695,0.018021439521796193,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Abca1,408.3641960592582,0.980083829890477,0.21365388436492352,4.587250228582231,4.491222548939184e-06,0.001078991266146256,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Adamtsl1,263.8585463707197,1.041368225857081,0.22438720057445938,4.6409430804923275,3.468226576964766e-06,0.000937374938089152,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fyb2,50.473845968390215,2.007227430211999,0.3997456223222495,5.02126181783149,5.133313082137197e-07,0.00017902015397092014,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Per3,97.88276921307009,1.6984568143793213,0.28454255928131067,5.9690782941899245,2.385976038792839e-09,1.8564192065645152e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fgl2,835.7376646374245,0.9822092751084891,0.22590784974501354,4.347831543778258,1.3749013897033242e-05,0.0025193320210309556,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Spon2,250.97710099962,-1.893995893935806,0.23295881114761127,-8.130174963571996,4.2867125077014256e-16,1.5447882973586703e-12,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Lgi2,412.2490814767261,0.7768690430595703,0.18993820870573871,4.090114613343188,4.3116007461444174e-05,0.0063853035159681226,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Sept11,409.27575478824684,-0.8352531131714391,0.22600580313120405,-3.6957153382762757,0.00021926854183917466,0.025218214955567204,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Anxa3,749.1915574041706,-1.1902367546617818,0.21049756122208663,-5.654396885890834,1.563944527769943e-08,8.051335376057549e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Eln,7065.202521158551,-1.4054287296543548,0.23498223322966436,-5.980999968966728,2.2177191665591374e-09,1.8564192065645152e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Por,253.1758591196827,1.1684932284033347,0.2685425872581065,4.351239929331028,1.3536982142049052e-05,0.0025193320210309556,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Inmt,2055.104343285735,1.6831294323413084,0.26029305142797315,6.466286453317231,1.0044059781415445e-10,1.206514781076471e-07,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Adcyap1r1,108.05191225790402,-1.2385637294501444,0.283790417127128,-4.36436065032919,1.2749508972066453e-05,0.002418156868368604,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Reep1,20.494934561864024,1.8692226857101848,0.5181986840080939,3.6071544436438376,0.00030957341105779506,0.03249318589267789,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tmsb10,5402.950133297527,-0.8808629781117809,0.24418256018070214,-3.6073951287099164,0.00030928648126455125,0.03249318589267789,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Slc6a6,157.30670244597854,1.1699301155042523,0.2560209720761525,4.569665156791378,4.885040726345404e-06,0.0011480907672286992,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Mfap5,8058.411457949321,-0.6821718012425553,0.17721617612360516,-3.8493765984813515,0.00011841882323897473,0.015424408410078985,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Bhlhe41,64.62417962265764,1.359088810660301,0.3148928876188577,4.316035274525872,1.588566049249222e-05,0.0028154077964644814,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tmtc1,313.49925292300003,0.957472432277616,0.20684310537298983,4.62897919923922,3.6747267377994577e-06,0.0009458921610083319,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Itpkc,234.7055354758689,1.01837266657402,0.29126091311956015,3.4964275009190353,0.00047153260632713367,0.04511273457524462,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Sbsn,188.2592511890576,-0.9563763859196217,0.23145648458079443,-4.131992187005587,3.596326479265518e-05,0.005476040220752044,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Dbp,356.3558289284561,5.223278661081203,0.8752364368844707,5.967848733165418,2.40402080213701e-09,1.8564192065645152e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Saa3,19.300089474534165,7.601769524328467,1.861311874117382,4.0840923168414,4.4249438054074015e-05,0.006464603713548569,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Nmb,179.19156774504532,1.578157939784666,0.26929624759277154,5.8603042333183515,4.6201992289154995e-09,2.9381749331650275e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Nox4,205.8314700864421,-0.9756761694480931,0.25193988191067485,-3.8726547065462964,0.00010765629691714304,0.014368792913225105,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Prss23,2252.887484077433,-0.7231878412509525,0.18360816036600003,-3.9387565335297055,8.190499016511779e-05,0.011314766989597347,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Dgat2,15.418563989828195,2.800949192890911,0.656697391100406,4.265205299807044,1.9971847128348215e-05,0.0034101579433797745,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Adm,757.5539861310998,-1.0684540241497276,0.19882658529971733,-5.373798592070104,7.709496983649382e-08,3.472807162093061e-05,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Arntl,67.89815681485032,-3.3316667315233874,0.396024745786149,-8.41277411821752,4.0042562704356834e-17,4.3290014539680173e-13,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Rras2,106.37020086359537,-1.2539494544209655,0.3624265871086807,-3.4598715961336035,0.0005404330287801888,0.04993667097539015,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ptpre,16.125508131698638,-2.140765606930917,0.6031467731033615,-3.549327796144991,0.0003862159811361883,0.03794763663721785,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tspan4,320.1161896831424,1.2212212507082116,0.20814644169393828,5.867125283380602,4.434156337754265e-09,2.9381749331650275e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Kcnq1ot1,908.3648856180212,0.6684529247639388,0.18595808116648158,3.594643053804674,0.000324836623086568,0.033497974714765254,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col4a1,4569.543409285111,-1.1862067149247157,0.26212417375975466,-4.525361769998034,6.029227908432842e-06,0.0013302445493483155,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col4a2,1911.6171719535594,-0.8877455701388355,0.23580935998394267,-3.764674863624099,0.00016676593274271437,0.019812159328367968,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Hpgd,772.7373355876825,-1.335058006296609,0.21077129002709202,-6.334154932225371,2.3864561924001983e-10,2.5799977896038543e-07,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Lpl,1574.9035353633633,-0.8668084061275644,0.1984394637506823,-4.368125118583344,1.2531769770000274e-05,0.002418156868368604,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Herpud1,485.5040150943671,0.7185193950781217,0.19581482783766085,3.6693819513699237,0.00024313758041674035,0.02766905665142505,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Cdh13,180.39974815123313,1.2501456187841686,0.24779857760753823,5.045007242794352,4.535041889422609e-07,0.00016906323402257872,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Agt,308.8066945933069,1.3580771362140158,0.22953197802055306,5.916723011433331,3.2841907598438094e-09,2.3670257536447616e-06,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Mmp3,263.4867652434235,-1.7634017043270933,0.32666866872425465,-5.398135398823951,6.733704319776487e-08,3.1651338000479824e-05,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Col5a3,754.2779432548858,-1.1213051607962177,0.2374868417825687,-4.721546475500439,2.340581320038117e-06,0.0007028895736370023,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Opcml,72.73953573197478,1.4954280086353342,0.29859432583508355,5.008226477355344,5.493387235137248e-07,0.0001799666951486933,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Clmp,374.6837611238763,-0.8411556196946095,0.23028027654000988,-3.6527471320300573,0.0002594496971544389,0.02862153750955754,3,3,TH_vs_SH,Areg,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
