gene,score,log2FC,pval,padj,contrast,contrast_label,cell_state,tissue,n_a,n_b,is_sig
Dbp,26.422743,4.143665,7.50832825968289e-154,1.30201920351161e-149,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl38,22.973965,0.93771607,8.48992051295486e-117,7.361185580757511e-113,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rps28,22.20053,0.8571749,3.3942731434239347e-109,1.9620030193371484e-105,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rps21,21.1602,0.7331014,2.2227485645998675e-99,9.636170714681575e-96,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rps29,20.451536,0.78981006,5.821340086974054e-93,2.0189571689643412e-89,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl39,19.292974,0.73355544,6.1528960833051285e-83,1.778289516343237e-79,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl6,18.06707,0.68257666,5.790937367065185e-73,1.434580641175391e-69,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rps27,17.757223,0.74076277,1.5154715263386764e-70,2.6279791738238985e-67,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl37,17.427423,0.73677325,5.109680036558639e-68,8.055178319451214e-65,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl37a,15.348312,0.5602821,3.6352070871609096e-53,4.8490866229582565e-50,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
AY036118,15.098421,2.087881,1.6585767996687713e-51,1.917425352203744e-48,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Rpl36a,13.884445,0.613649,7.870706919325311e-44,7.582551593778901e-41,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Ubb,13.50489,0.5633558,1.4633047967910945e-41,1.2687584240577184e-38,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Tspan4,13.49999,1.2456387,1.563964137562524e-41,1.2914620052129396e-38,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
Hlf,13.394146,1.9346013,6.5424016023635e-41,5.15689937211752e-38,TC_vs_SC,exercise_TC_vs_SC,Areg,vWAT,1450,1555,True
