sender,receiver,ligand,receptor,pathway,SC,TC,delta_TC_SC,pct_change
Areg,Areg,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Areg,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Areg,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Areg,Ccl2,Ccr2,Macrophage-recruit,0.0,0.0,0.0,0.0
Areg,Areg,Csf1,Csf1r,Macrophage-recruit,0.0006229207371794901,0.0035470760113706155,0.0029241552741911254,469.4
Areg,Areg,Cxcl12,Cxcr4,CXCL12-homing,0.000361426011711186,0.0,-0.000361426011711186,-100.0
Areg,Areg,Dll1,Notch1,Notch,8.120823952904096e-05,0.00020052534360976709,0.00011931710408072613,146.9
Areg,Areg,Fndc5,Itgav,Irisin-autocrine,0.005504380838741566,0.012168054566447224,0.006663673727705657,121.1
Areg,Areg,Fndc5,Itgb1,Irisin-autocrine,0.019809354348432708,0.041872330290897125,0.022062975942464418,111.4
Areg,Areg,Fndc5,Itgb5,Irisin-autocrine,0.011764787534306388,0.028060332836463562,0.016295545302157176,138.5
Areg,Areg,Il33,Il1rl1,ILC2-activation,0.0,0.0,0.0,0.0
Areg,Areg,Il6,Il6ra,IL6,0.0970022621415123,0.06622095666554868,-0.03078130547596361,-31.7
Areg,Areg,Il6,Il6st,IL6,0.30484879048001334,0.25463015163901404,-0.05021863884099931,-16.5
Areg,Areg,Jag1,Notch2,Notch,0.00580912764947228,0.004508969685968845,-0.0013001579635034347,-22.4
Areg,Areg,Pdgfa,Pdgfra,Stromal-PDGF,0.03316645193581627,0.03952392908470445,0.00635747714888818,19.2
Areg,Areg,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Areg,Tgfb1,Tgfbr1,TGFb-immunosup,0.00381767308048442,0.002501921382427458,-0.001315751698056962,-34.5
Areg,Areg,Tgfb1,Tgfbr2,TGFb-immunosup,0.023368603999991078,0.013941385921794365,-0.009427218078196712,-40.3
Areg,Areg,Tgfb2,Tgfbr1,TGFb-immunosup,0.018538655116576614,0.019056855472157547,0.0005182003555809327,2.8
Areg,Areg,Tnf,Tnfrsf1a,TNF,0.00027542378752306294,0.0,-0.00027542378752306294,-100.0
Areg,Areg,Tslp,Crlf2,ILC2-activation,0.003261052978074983,0.0016546389849083592,-0.0016064139931666237,-49.3
Areg,Areg,Vegfa,Flt1,Angiogenesis,0.0,0.00020086813082606733,0.00020086813082606733,2008681.3
Areg,Areg,Vegfa,Kdr,Angiogenesis,0.0012423949223361245,0.0020280632298517527,0.0007856683075156282,63.2
Areg,Areg,Wnt5a,Fzd4,Wnt,0.10392855041333815,0.13683533581673796,0.03290678540339981,31.7
Areg,Areg,Wnt5a,Ror2,Wnt,0.011993432448628693,0.015823053028026928,0.003829620579398235,31.9
Areg,B_Fo,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,B_Fo,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,B_Fo,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,B_Fo,Ccl2,Ccr2,Macrophage-recruit,0.004142076339378435,0.001046476506620513,-0.0030955998327579217,-74.7
Areg,B_Fo,Csf1,Csf1r,Macrophage-recruit,0.0,0.0,0.0,0.0
Areg,B_Fo,Cxcl12,Cxcr4,CXCL12-homing,0.31594789311196747,0.42965278849598665,0.11370489538401918,36.0
Areg,B_Fo,Dll1,Notch1,Notch,7.01337316562845e-05,7.324717304332392e-05,3.1134413870394218e-06,4.4
Areg,B_Fo,Fndc5,Itgav,Irisin-autocrine,0.0008759645953905809,0.0018998912524166537,0.0010239266570260727,116.9
Areg,B_Fo,Fndc5,Itgb1,Irisin-autocrine,0.0016859754276145353,0.0011788144649212372,-0.0005071609626932981,-30.1
Areg,B_Fo,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0,0.0,0.0
Areg,B_Fo,Il33,Il1rl1,ILC2-activation,0.0,0.0010723573740041594,0.0010723573740041594,10723573.7
Areg,B_Fo,Il6,Il6ra,IL6,0.04915880145623323,0.034663866097586274,-0.014494935358646953,-29.5
Areg,B_Fo,Il6,Il6st,IL6,0.0264133630226018,0.0106473965760426,-0.0157659664465592,-59.7
Areg,B_Fo,Jag1,Notch2,Notch,0.009013526855766953,0.0098510408816342,0.0008375140258672469,9.3
Areg,B_Fo,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,B_Fo,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,B_Fo,Tgfb1,Tgfbr1,TGFb-immunosup,0.0026428195442901024,0.0027833398658871056,0.00014052032159700325,5.3
Areg,B_Fo,Tgfb1,Tgfbr2,TGFb-immunosup,0.013002730899532597,0.0071976743705044486,-0.005805056529028148,-44.6
Areg,B_Fo,Tgfb2,Tgfbr1,TGFb-immunosup,0.012833555685371978,0.021200388599997448,0.00836683291462547,65.2
Areg,B_Fo,Tnf,Tnfrsf1a,TNF,6.334271518467018e-06,0.0,-6.334271518467018e-06,-99.8
Areg,B_Fo,Tslp,Crlf2,ILC2-activation,0.006660329706532056,0.00909173068177871,0.0024314009752466528,36.5
Areg,B_Fo,Vegfa,Flt1,Angiogenesis,0.0,0.0,0.0,0.0
Areg,B_Fo,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,B_Fo,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,B_Fo,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Ccl2,Ccr2,Macrophage-recruit,0.12293147453568674,0.073888385829855,-0.04904308870583174,-39.9
Areg,CD4_Memory,Csf1,Csf1r,Macrophage-recruit,0.0009385010270012232,0.0,-0.0009385010270012232,-100.0
Areg,CD4_Memory,Cxcl12,Cxcr4,CXCL12-homing,0.2243245047522841,0.37062121882350807,0.14629671407122397,65.2
Areg,CD4_Memory,Dll1,Notch1,Notch,0.0005079097943078683,0.0012068902911859078,0.0006989804968780396,137.6
Areg,CD4_Memory,Fndc5,Itgav,Irisin-autocrine,0.0019807853873461795,0.005030986299196559,0.00305020091185038,154.0
Areg,CD4_Memory,Fndc5,Itgb1,Irisin-autocrine,0.026894804887601848,0.07272921395210329,0.04583440906450144,170.4
Areg,CD4_Memory,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Il33,Il1rl1,ILC2-activation,0.003203237142622104,0.004493268918401706,0.001290031775779602,40.3
Areg,CD4_Memory,Il6,Il6ra,IL6,0.025420998728881466,0.03368564786657129,0.008264649137689827,32.5
Areg,CD4_Memory,Il6,Il6st,IL6,0.008266125646723231,0.0035992610089849264,-0.004666864637738305,-56.5
Areg,CD4_Memory,Jag1,Notch2,Notch,0.0023827402711471407,0.003364005207001697,0.000981264935854556,41.2
Areg,CD4_Memory,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Tgfb1,Tgfbr1,TGFb-immunosup,0.0027030105128096156,0.0024418683086050233,-0.00026114220420459227,-9.7
Areg,CD4_Memory,Tgfb1,Tgfbr2,TGFb-immunosup,0.013499065486589964,0.008776856686749691,-0.0047222087998402724,-35.0
Areg,CD4_Memory,Tgfb2,Tgfbr1,TGFb-immunosup,0.013125843574615336,0.018599437922377234,0.005473594347761897,41.7
Areg,CD4_Memory,Tnf,Tnfrsf1a,TNF,5.2122792365651546e-05,0.0,-5.2122792365651546e-05,-100.0
Areg,CD4_Memory,Tslp,Crlf2,ILC2-activation,0.009411767304405638,0.00858943809385603,-0.0008223292105496074,-8.7
Areg,CD4_Memory,Vegfa,Flt1,Angiogenesis,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,CD4_Memory,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Ccl2,Ccr2,Macrophage-recruit,0.05684206504312662,0.017203292861287245,-0.03963877218183937,-69.7
Areg,CD4_Naive,Csf1,Csf1r,Macrophage-recruit,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Cxcl12,Cxcr4,CXCL12-homing,0.18307671555739083,0.26245192558828423,0.0793752100308934,43.4
Areg,CD4_Naive,Dll1,Notch1,Notch,0.0003932295870870789,0.0009280059002869276,0.0005347763131998487,136.0
Areg,CD4_Naive,Fndc5,Itgav,Irisin-autocrine,0.001723645591918956,0.0019406543587461,0.0002170087668271442,12.6
Areg,CD4_Naive,Fndc5,Itgb1,Irisin-autocrine,0.014873486207984354,0.03279717365582066,0.017923687447836307,120.5
Areg,CD4_Naive,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0,0.0,0.0
Areg,CD4_Naive,Il33,Il1rl1,ILC2-activation,0.0004247000455959672,0.0018262461204748045,0.0014015460748788373,330.0
Areg,CD4_Naive,Il6,Il6ra,IL6,0.09232847361555911,0.08711343977504875,-0.0052150338405103636,-5.6
Areg,CD4_Naive,Il6,Il6st,IL6,0.02085532206454821,0.01816034776696696,-0.0026949742975812506,-12.9
Areg,CD4_Naive,Jag1,Notch2,Notch,0.0026188361045218923,0.0020849127782552137,-0.0005339233262666786,-20.4
Areg,CD4_Naive,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
