Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
ChEA_2022,ESR1 22446102 ChIP-Seq UTERUS Mouse,9/1183,4.9556431056210945e-09,2.116059606100207e-06,0,0,36.055579216354346,689.481426822891,POSTN;LBH;ELN;DPYSL3;HMCN2;PI15;MICAL2;COL8A1;SYNE1,ChEA_2022
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,SMAD4 CHEA,4/584,0.00041693904414494303,0.0091726589711887,0,0,14.871264367816092,115.7366637229946,MICAL2;THBS1;SYNE1;FBN1,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
TRRUST_Transcription_Factors_2019,FOSL1 mouse,1/7,0.0045417536091676,0.0294684136502757,0,0,277.5138888888889,1497.032601111507,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,CDX1 human,1/8,0.0051890223794998,0.0294684136502757,0,0,237.8571428571429,1251.416370420653,POSTN,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,RUNX3 mouse,1/8,0.0051890223794998,0.0294684136502757,0,0,237.8571428571429,1251.416370420653,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,SNAI1 human,1/10,0.006482395492037,0.0294684136502757,0,0,184.9814814814815,932.059746399125,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,ID1 mouse,1/11,0.00712850018242,0.0294684136502757,0,0,166.475,822.994869532877,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,MYBL2 mouse,1/13,0.0084195467572216,0.0294684136502757,0,0,138.71527777777777,662.6705253310397,ELN,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,NR1I2 human,1/26,0.0167736618234459,0.0391385442547071,0,0,66.54,272.01188501169923,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,PARP1 human,1/25,0.016133351108423,0.0391385442547071,0,0,69.31597222222223,286.05777422638903,FBN1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,TWIST2 human,1/25,0.016133351108423,0.0391385442547071,0,0,69.31597222222223,286.05777422638903,POSTN,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,TWIST1 mouse,1/29,0.0186922870807393,0.0392538028695526,0,0,59.401785714285715,236.3979776770167,POSTN,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,REST human,1/32,0.0206074563833083,0.0393415076408613,0,0,53.645161290322584,208.25600447555712,SCG3,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,USF2 human,1/47,0.030131661136783,0.0527304069893703,0,0,36.125,126.5162089708299,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,WT1 human,1/57,0.0364335583389396,0.0546503375084094,0,0,29.65922619047619,98.23921673902151,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,RUNX2 mouse,1/57,0.0364335583389396,0.0546503375084094,0,0,29.65922619047619,98.23921673902151,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,EGR1 mouse,1/71,0.0451927319981768,0.0632698247974475,0,0,23.710714285714285,73.42779054088277,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,YY1 human,1/91,0.0575783943051017,0.0755716425254459,0,0,18.423148148148147,52.59086388764015,POSTN,TRRUST_Transcription_Factors_2019
ChEA_2022,EP300 21415370 ChIP-Seq HL-1 Mouse,4/600,0.0004619603147293072,0.0886549439856104,0,0,14.460104399701716,111.05405828691026,LBH;ELN;DPYSL3;MICAL2,ChEA_2022
ChEA_2022,SMAD4 21741376 ChIP-Seq HESCs Human,6/1862,0.0006228684589152957,0.0886549439856104,0,0,8.373306650246306,61.804843412726285,POSTN;LBH;MICAL2;COL8A1;SYNE1;FBN1,ChEA_2022
ChEA_2022,NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,8/3823,0.0009050230057260992,0.0966112058612611,0,0,6.782490170380079,47.5286403085421,POSTN;LBH;ELN;MICAL2;COL8A1;THBS1;SYNE1;FBN1,ChEA_2022
TRRUST_Transcription_Factors_2019,E2F1 human,1/134,0.0837069915156922,0.1034027542252668,0,0,12.43984962406015,30.856210715153104,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,JUN human,1/149,0.092663152456293,0.1081070111990085,0,0,11.170608108108109,26.57246805823029,ELN,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,TP53 human,1/164,0.1015384465657889,0.1084690534134956,0,0,10.134969325153374,23.181895418815735,THBS1,TRRUST_Transcription_Factors_2019
TRRUST_Transcription_Factors_2019,TRP53 mouse,1/167,0.1033038603938053,0.1084690534134956,0,0,9.950301204819278,22.587985061054304,THBS1,TRRUST_Transcription_Factors_2019
ChEA_2022,MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse,5/1461,0.0016175864852195,0.1210772693003325,0,0,7.954584478021978,51.12268312864956,POSTN;DPYSL3;MICAL2;SYNE1;FBN1,ChEA_2022
ChEA_2022,LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,5/1517,0.0019148561643678,0.1210772693003325,0,0,7.63682208994709,47.79209383690948,LBH;DPYSL3;SCG3;THBS1;SYNE1,ChEA_2022
ChEA_2022,TBX20 22080862 ChIP-Seq HEART Mouse,5/1589,0.0023549561554489,0.1210772693003325,0,0,7.261284722222222,43.93972696306616,LBH;ELN;MICAL2;THBS1;FBN1,ChEA_2022
ChEA_2022,TBX20 22328084 ChIP-Seq HEART Mouse,5/1589,0.0023549561554489,0.1210772693003325,0,0,7.261284722222222,43.93972696306616,LBH;ELN;MICAL2;THBS1;FBN1,ChEA_2022
ChEA_2022,GATA2 19941826 ChIP-Seq K562 Human,5/1618,0.0025519799149952,0.1210772693003325,0,0,7.119497830130192,42.50970838193441,LBH;MICAL2;SCG3;THBS1;FBN1,ChEA_2022
ChEA_2022,SMAD3 21741376 ChIP-Seq HESCs Human,4/984,0.0029132873382116,0.1243973693416377,0,0,8.619954648526077,50.32737390675165,POSTN;MICAL2;SYNE1;FBN1,ChEA_2022
ChEA_2022,FOXO1 32281255 ChIP-Seq Chondrocytes Human Osteoarthritis,3/531,0.0043633182305514,0.1693760804041352,0,0,11.05625,60.08543882707653,DPYSL3;CCN2;SYNE1,ChEA_2022
ChEA_2022,FOXO3 23340844 ChIP-Seq DLD1 Human,3/576,0.0054778017888826,0.181869425889128,0,0,10.164397905759165,52.92654226314402,LBH;DPYSL3;THBS1,ChEA_2022
ChEA_2022,SOX2 20726797 ChIP-Seq SW620 Human,5/1931,0.0055370082823387,0.181869425889128,0,0,5.860916407061267,30.45508546648569,LBH;DPYSL3;MICAL2;COL8A1;THBS1,ChEA_2022
ChEA_2022,FOSL1 28411283 ChIP-Seq MDA231-LM2-4175 Human BreastCancer,4/1238,0.006652106117035,0.2028892365695681,0,0,6.7541869259859535,33.85753522832275,MICAL2;COL8A1;CCN2;THBS1,ChEA_2022
ChEA_2022,NANOG 18555785 Chip-Seq ESCs Mouse,4/1522,0.0136814068879768,0.2188851829248583,0,0,5.407407407407407,23.20706515890919,POSTN;PI15;THBS1;FBN1,ChEA_2022
ChEA_2022,SOX9 26525672 Chip-Seq HEART Mouse,4/1299,0.0078842222735751,0.2188851829248583,0,0,6.415100815100815,31.067638473471124,POSTN;ELN;PI15;FBN1,ChEA_2022
ChEA_2022,NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,6/3084,0.008621075772826,0.2188851829248583,0,0,4.708716235032025,22.383096410532623,POSTN;LBH;ELN;MICAL2;COL8A1;FBN1,ChEA_2022
ChEA_2022,CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse,4/1349,0.0090023763146841,0.2188851829248583,0,0,6.160099132589839,29.015709822374756,POSTN;THBS1;SYNE1;FBN1,ChEA_2022
ChEA_2022,TCFCP2L1 18555785 Chip-Seq ESCs Mouse,4/1513,0.0134054107776409,0.2188851829248583,0,0,5.442309108313085,23.46776403969223,POSTN;PI15;THBS1;FBN1,ChEA_2022
ChEA_2022,TCF4 23295773 ChIP-Seq U87 Human,6/3177,0.0099856754919,0.2188851829248583,0,0,4.545479118799838,20.939220762101343,LBH;MICAL2;COL8A1;SCG3;SYNE1;FBN1,ChEA_2022
ChEA_2022,PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse,4/1490,0.0127168298048551,0.2188851829248583,0,0,5.533423059668013,24.15244533669337,POSTN;DPYSL3;MICAL2;FBN1,ChEA_2022
ChEA_2022,SUZ12 18555785 Chip-Seq ESCs Mouse,4/1491,0.0127462708137515,0.2188851829248583,0,0,5.52940297392214,24.122111904380834,POSTN;PI15;THBS1;FBN1,ChEA_2022
ChEA_2022,CTCF 18555785 Chip-Seq ESCs Mouse,4/1492,0.0127757568358334,0.2188851829248583,0,0,5.525388291517324,24.091830634751147,POSTN;PI15;THBS1;FBN1,ChEA_2022
ChEA_2022,CMYC 18555785 Chip-Seq ESCs Mouse,4/1499,0.0129834216993057,0.2188851829248583,0,0,5.4974358974358974,23.881312269098764,POSTN;PI15;THBS1;FBN1,ChEA_2022
ChEA_2022,NRF2 20460467 ChIP-Seq MEFs Mouse,3/870,0.0169161850972373,0.2188851829248583,0,0,6.615916955017301,26.989530124090575,LBH;PI15;SYNE1,ChEA_2022
ChEA_2022,NFE2L2 20460467 ChIP-Seq MEFs Mouse,3/870,0.0169161850972373,0.2188851829248583,0,0,6.615916955017301,26.989530124090575,LBH;PI15;SYNE1,ChEA_2022
ChEA_2022,CDX2 22108803 ChIP-Seq LS180 Human,4/1619,0.0168958674043929,0.2188851829248583,0,0,5.05593395252838,20.631680005472415,ELN;MICAL2;SYNE1;FBN1,ChEA_2022
ChEA_2022,SMAD4 21741376 ChIP-Seq EPCs Human,4/1603,0.0163349101597147,0.2188851829248583,0,0,5.110972135362379,21.028843052817273,POSTN;MICAL2;SYNE1;FBN1,ChEA_2022
ChEA_2022,KLF5 25053715 ChIP-Seq YYC3 Human,4/1591,0.0159222595840492,0.2188851829248583,0,0,5.152979066022544,21.33352489515541,DPYSL3;PI15;MICAL2;SYNE1,ChEA_2022
