Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
ChEA_2022,LXR 22292898 ChIP-Seq THP-1 Human,7/1614,0.00020740930561305795,0.052960038941226,0,0,8.004480398257623,67.88452859679467,CNTFR;TEF;GPX3;NR1D1;TGFBI;PLTP;PGF,ChEA_2022
ChEA_2022,TCF7 22412390 ChIP-Seq EML Mouse,7/1635,0.0002248833925317456,0.052960038941226,0,0,7.892199017199017,66.29390781145602,FNDC5;DBP;TEF;TSPAN4;NR1D2;APOE;PGF,ChEA_2022
ChEA_2022,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,9/3679,0.0013872269394182,0.1652749232532507,0,0,5.0005790190735695,32.90605286586629,FNDC5;CNTFR;DBP;TEF;IGFBP3;TSPAN4;NR1D2;APOE;TGFBI,ChEA_2022
ChEA_2022,TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human,6/1629,0.0016313302695243,0.1652749232532507,0,0,6.170391530835154,39.60379098176839,DBP;IGFBP3;NR1D2;TGFBI;PLTP;INMT,ChEA_2022
ChEA_2022,ATF3 23680149 ChIP-Seq GBM1-GSC Human,6/1652,0.001754510862561,0.1652749232532507,0,0,6.0765492102065615,38.55913903242494,GPX3;IGFBP3;NR1D2;NR1D1;TGFBI;PLTP,ChEA_2022
ChEA_2022,MEIS1 20887958 ChIP-Seq HPC-7 Mouse,4/1092,0.0118791202244471,0.2543211648052084,0,0,5.343608597285068,23.68807275708103,TEF;TSPAN4;NR1D1;TGFBI,ChEA_2022
ChEA_2022,NANOG 18700969 ChIP-ChIP MESCs Mouse,2/196,0.011796443870131,0.2543211648052084,0,0,13.600687285223367,60.38646889116274,CNTFR;IFITM1,ChEA_2022
ChEA_2022,CNOT3 19339689 ChIP-ChIP MESCs Mouse,4/1083,0.0115467614035387,0.2543211648052084,0,0,5.390746417623156,24.050008035872708,TEF;TSPAN4;NR1D2;PGF,ChEA_2022
ChEA_2022,ELK3 25401928 ChIP-Seq HUVEC Human,5/1689,0.0111624799333871,0.2543211648052084,0,0,4.527662311955661,20.3527346324041,DBP;GPX3;TSPAN4;NR1D1;PLTP,ChEA_2022
ChEA_2022,CTCF 27219007 Chip-Seq ERYTHROID Human,5/1663,0.0104698344383681,0.2543211648052084,0,0,4.605197024527543,20.996277079829134,FNDC5;CNTFR;IFITM1;NR1D1;APOE,ChEA_2022
ChEA_2022,FOXO1 32281255 ChIP-Seq Chondrocytes Human Osteoarthritis,3/531,0.0095886115019777,0.2543211648052084,0,0,7.8956980519480515,36.692723650681096,IGFBP3;TSPAN4;NR1D2,ChEA_2022
ChEA_2022,SOX9 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse,5/1619,0.0093676054568465,0.2543211648052084,0,0,4.742100371747212,22.147969209575212,DBP;TEF;NR1D1;TGFBI;PGF,ChEA_2022
ChEA_2022,RARB 27405468 Chip-Seq BRAIN Mouse,5/1611,0.0091764212284126,0.2543211648052084,0,0,4.767797841427979,22.36630224929266,FNDC5;DBP;TEF;NR1D2;NR1D1,ChEA_2022
ChEA_2022,RUNX2 24764292 ChIP-Seq MC3T3 Mouse,5/1600,0.0089180833298999,0.2543211648052084,0,0,4.80355276907001,22.67120421090097,IFITM1;TEF;TSPAN4;NR1D1;PLTP,ChEA_2022
ChEA_2022,BRD4 27068464 Chip-Seq AML-cells Mouse,5/1597,0.0088485334534829,0.2543211648052084,0,0,4.81338986599665,22.755317655759537,TSPAN4;NR1D1;APOE;TGFBI;INMT,ChEA_2022
ChEA_2022,CSB 26484114 Chip-Seq FIBROBLAST Human,5/1594,0.008779369665205,0.2543211648052084,0,0,4.823264107405077,22.839846903440023,CNTFR;IGFBP3;NR1D1;PLTP;PGF,ChEA_2022
ChEA_2022,PPARD 23176727 ChIP-Seq KERATINOCYTES Mouse,2/164,0.0083832013691658,0.2543211648052084,0,0,16.31358024691358,78.00379851916495,TGFBI;PLTP,ChEA_2022
ChEA_2022,RXR 22158963 ChIP-Seq LIVER Mouse,5/1546,0.0077243184692946,0.2543211648052084,0,0,4.986480640276876,24.25115861419055,DBP;TSPAN4;NR1D2;NR1D1;APOE,ChEA_2022
ChEA_2022,NANOG 18692474 ChIP-Seq MEFs Mouse,5/1533,0.0074549186657052,0.2543211648052084,0,0,5.03244982547993,24.653374045601673,IFITM1;DBP;APOE;TGFBI;PLTP,ChEA_2022
ChEA_2022,PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse,5/1490,0.0066116557106976,0.2543211648052084,0,0,5.19023569023569,26.04938378691381,CNTFR;GPX3;IGFBP3;PGF;INMT,ChEA_2022
ChEA_2022,SETDB1 19884255 ChIP-Seq MESCs Mouse,5/1478,0.0063891113595133,0.2543211648052084,0,0,5.235913102511881,26.4579071119238,IFITM1;DBP;GPX3;IGFBP3;TSPAN4,ChEA_2022
ChEA_2022,CLOCK 20551151 ChIP-Seq 293T Human,3/382,0.0038524280951721,0.2543211648052084,0,0,11.084055785902752,61.616838665202586,DBP;TEF;INMT,ChEA_2022
ChEA_2022,BACH1 22875853 ChIP-PCR HELA AND SCP4 Human,4/1127,0.0132312610576802,0.2702683115624001,0,0,5.167477224467429,22.350232904048607,IFITM1;TEF;IGFBP3;TGFBI,ChEA_2022
ChEA_2022,TBP 23326641 ChIP-Seq C3H10T1-2 Mouse,3/607,0.0137716337101859,0.2702683115624001,0,0,6.875236518448439,29.461380788316117,DBP;NR1D1;PLTP,ChEA_2022
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,PPARD CHEA,2/285,0.0239009534240259,0.2761422003730309,0,0,9.28150765606596,34.65563603950398,TGFBI;PGF,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,MAX ENCODE,5/2073,0.0254345304221333,0.2761422003730309,0,0,3.609566408768536,13.25305570736027,DBP;TEF;TSPAN4;NR1D2;NR1D1,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,USF1 ENCODE,4/1423,0.0287648125388573,0.2761422003730309,0,0,4.025369978858351,14.284437671218154,DBP;TEF;NR1D2;NR1D1,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,RAD21 ENCODE,4/1265,0.0195295178916461,0.2761422003730309,0,0,4.568291343866284,17.98000998803183,FNDC5;CNTFR;IGFBP3;APOE,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,USF2 ENCODE,4/965,0.0077429691863186,0.2761422003730309,0,0,6.090450652365325,29.60549820690565,DBP;TEF;NR1D2;NR1D1,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,BHLHE40 ENCODE,2/348,0.0345615931835809,0.2764927454686478,0,0,7.567244701348748,25.46387102076656,NR1D2;NR1D1,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ChEA_2022,FOXA2 19822575 ChIP-Seq HepG2 Human,6/2553,0.0152044758846602,0.2825486961091434,0,0,3.734018631545134,15.6312197043028,TEF;NR1D2;NR1D1;TGFBI;PLTP;PGF,ChEA_2022
