Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
TF_Perturbations_Followed_by_Expression,GTF2I KO MOUSE GSE48790 CREEDSID GENE 1451 DOWN,17/259,2.3431374564461623e-16,3.95052975156823e-13,0,0,21.94188639643185,789.6856535151492,FBN2;EDN1;TAGLN;COL14A1;TPM1;TNC;LPL;ADM;TNFRSF11B;PRSS23;ASPN;MFAP5;SFRP4;GPR176;FOXS1;CDC42EP3;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,GTF2I KO MOUSE GSE48790 CREEDSID GENE 1452 DOWN,16/273,1.1536486998108515e-14,9.725258539405478e-12,0,0,19.127431906614785,613.8616759104013,EDN1;TAGLN;FLT1;SERPINB2;TNC;TNFRSF11B;PRSS23;ASPN;MFAP5;SFRP4;GPR176;FOXS1;CDC42EP3;MGP;PAMR1;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1598 UP,17/434,1.113946144679087e-12,6.260377333096469e-10,0,0,12.620417951353204,347.3531807964788,IL33;POSTN;TAGLN;MMP3;TPM1;RFTN1;LPL;ARHGAP29;ADM;LHFPL2;PRSS23;GNG11;NPAS2;RNF144A;CDC42EP3;MGP;PAMR1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,MYOD1 MUT MOUSE GSE6487 CREEDSID GENE 1180 UP,14/277,4.585897142805849e-12,1.7219315018614326e-09,0,0,15.85424588086185,413.9232120678717,FDPS;POSTN;PEG3;ANXA3;ACTN1;MMP3;TNC;FN1;LPL;THBS2;ASPN;MARCKS;CLMP;BASP1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PGR SIRNA HESC HUMAN GSE94036 RNASEQ DOWN,16/406,5.106558427821568e-12,1.7219315018614326e-09,0,0,12.51923076923077,325.5062024789317,SPON2;POSTN;TAGLN;TPM1;TNC;FN1;ADM;THBS2;SEPT9;MARCKS;CCND1;PALLD;CDC42EP3;PAMR1;SOX4;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,SRF KO MOUSE GSE34545 CREEDSID GENE 2884 UP,15/367,1.5239509940050307e-11,4.282302293154136e-09,0,0,12.828671328671328,319.5253809486313,FBLN7;IL33;MMP3;RFTN1;ECSCR;LPL;HIGD1B;SFRP4;GPR176;MARCKS;CCL8;CLMP;BASP1;ANPEP;CD55,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,POU5F1 KD HUMAN GSE21135 CREEDSID GENE 1328 UP,15/400,5.129627847933363e-11,1.0873462692452256e-08,0,0,11.709290709290707,277.4329425731062,FBN2;EDN1;TAGLN;ANXA3;TPM1;RFTN1;TNC;TNFRSF11B;PRSS23;MFAP5;MARCKS;CDK6;CCND1;PALLD;NOX4,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,ZFX KO MOUSE GSE7069 CREEDSID GENE 177 UP,14/332,5.1594129027056967e-11,1.0873462692452256e-08,0,0,13.075471698113208,309.72671636457693,FBN2;POSTN;TAGLN;ANXA3;ACTN1;TPM1;TNC;FN1;RRAS2;PRSS23;MARCKS;BASP1;PALLD;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,RUNX1 KO MOUSE GSE34292 CREEDSID GENE 2397 UP,13/282,8.959869084032053e-11,1.678482141742005e-08,0,0,14.174277312323143,327.93154990109764,SPON2;TAGLN;MMP3;TPM1;THBS2;PRSS23;ASPN;CCL8;CLMP;ALDH1A2;CDC42EP3;FIBIN;PAMR1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,REST SHRNA C2 HUMAN GSE90068 PBPA RNASEQ DOWN,13/294,1.5005568378454704e-10,2.5299388286074633e-08,0,0,13.560684123864664,306.7428737558827,SPON2;TAGLN;COL14A1;ACTN1;TNC;MICAL2;THBS2;SEPT9;MARCKS;CLMP;PALLD;PAMR1;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1600 UP,14/386,3.739310840284651e-10,5.7313437061090215e-08,0,0,11.146627565982405,241.95928281592663,IL33;POSTN;EDN1;TAGLN;TPM1;RFTN1;LPL;ARHGAP29;ADM;LHFPL2;PRSS23;CDC42EP3;MGP;PAMR1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,NEUROG1 OE HUMAN GSE18296 CREEDSID GENE 1426 DOWN,13/328,5.753623277790761e-10,6.92900631882516e-08,0,0,12.076048329779674,256.9302595317072,POSTN;SERPINB2;FN1;MICAL2;ADM;THBS2;PRSS23;NPAS2;ARNTL;DPP4;CDK6;PALLD;ANPEP,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1601 UP,14/398,5.569445063441966e-10,6.92900631882516e-08,0,0,10.791666666666666,229.95482821756815,IL33;POSTN;EDN1;TAGLN;TPM1;RFTN1;LPL;ARHGAP29;ADM;LHFPL2;PRSS23;CDC42EP3;MGP;PAMR1,TF_Perturbations_Followed_by_Expression
