Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
ChEA_2022,SUZ12 20075857 ChIP-Seq MESCs Mouse,38/3611,1.523244359038608e-09,1.0586548295318326e-06,0,0,4.139418655791451,84.04022989017422,CLIC6;HLF;HPCA;WNK4;LPAR3;PPL;NT5E;PDE11A;DBP;LRRTM3;BOC;TIMP3;RSPO3;SLC17A7;CACNG4;LMO1;GDF10;CCBE1;IL15RA;DGAT2;ACE;MMD2;MYRIP;IGF1;APLN;FNDC5;GNAO1;PLCXD3;TMEM114;PAPPA;DOK7;PKP2;AMPH;LRRN1;TNIK;TOX;FGFR2;GSTM5,ChEA_2022
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X,SUZ12 CHEA,23/1684,1.0196503798042822e-07,7.749342886512545e-06,0,0,4.4356813164760185,71.40841824869607,CLIC6;LMO1;GDF10;CCBE1;IL15RA;DGAT2;HLF;ACE;WNK4;LPAR3;MYRIP;APLN;GNAO1;NT5E;PLCXD3;TMEM114;LRRTM3;PAPPA;BOC;RSPO3;LRRN1;TOX;CACNG4,ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X
ChEA_2022,SUZ12 16625203 ChIP-ChIP MESCs Mouse,16/944,8.391270755504813e-07,0.00019439777250252816,0,0,5.116379310344827,71.58277012762433,CLIC6;LMO1;GDF10;CCBE1;IL15RA;DGAT2;IGF1;GNAO1;NT5E;PLCXD3;LRRTM3;SLC17A7;LRRN1;TOX;CACNG4;GSTM5,ChEA_2022
ChEA_2022,MTF2 20144788 ChIP-Seq MESCs Mouse,27/2488,6.22410772307762e-07,0.00019439777250252816,0,0,3.6140623921860264,51.64374288480572,CLIC6;PDXK;HLF;LPAR3;PPL;NT5E;PDE11A;LRRTM3;BOC;RSPO3;SLC17A7;CACNG4;LMO1;GDF10;CCBE1;IL15RA;DGAT2;ACE;MYRIP;APLN;FNDC5;PLCXD3;PAPPA;DOK7;LRRN1;TOX;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,ESR1 KO MOUSE GSE9371 CREEDSID GENE 2430 UP,10/283,1.889086803942209e-07,0.00027448431261280296,0,0,10.281004709576138,159.17053661860209,PLCXD3;DBP;DGAT2;HLF;TEF;MAP1B;WNK4;MYRIP;NR1D1;TNS2,TF_Perturbations_Followed_by_Expression
ChEA_2022,SUZ12 18692474 ChIP-Seq MESCs Mouse,20/1531,1.7326510986684422e-06,0.00030104812839364185,0,0,4.061107434370174,53.87407412249668,CLIC6;LMO1;GDF10;CCBE1;IL15RA;HLF;SLC24A3;ACE;WNK4;MYRIP;PPL;APLN;NT5E;PLCXD3;LRRTM3;PAPPA;BOC;RSPO3;TOX;CACNG4,ChEA_2022
ChEA_2022,LXR 22158963 ChIP-Seq LIVER Mouse,20/1578,2.7591409823107503e-06,0.0003835205965411943,0,0,3.928540864356012,50.2876454795114,IL15RA;DGAT2;HLF;CNP;FMO1;MMD2;NR1D2;MYRIP;IGF1;NR1D1;PPL;ADAMTSL1;CYP27A1;POR;DBP;SULT1E1;SLC16A7;TOX;ASPA;FGFR2,ChEA_2022
ChEA_2022,RNF2 27304074 Chip-Seq ESCs Mouse,17/1205,4.430696827382081e-06,0.000513222382505091,0,0,4.254769921436588,52.44835177847232,CLIC6;LMO1;DGAT2;HLF;SLC24A3;MYRIP;PPL;DEDD2;TMEM114;CSRP1;PAPPA;BOC;RSPO3;LRRN1;TOX;CACNG4;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,MYC OE MOUSE GSE55272 CREEDSID GENE 1826 DOWN,7/138,1.3342211195479472e-06,0.0005211391794121298,0,0,14.485307957753845,195.9451199293351,CLIC6;DBP;PER3;SULT1E1;TEF;MMD2;GSTM5,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,GTF2I KO MOUSE GSE48790 CREEDSID GENE 1452 DOWN,9/273,1.4346570665165308e-06,0.0005211391794121298,0,0,9.437900128040972,126.98302680773752,ADAMTSL1;CSRP1;MAOB;PAPPA;TIMP3;RSPO3;IGF1;ASPA;MYLK,TF_Perturbations_Followed_by_Expression
