,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,8.751731922683526,-0.57907868939038,0.6204659939556716,-0.9332964175821561,0.35066694430632384,
Gm19938,14.593618875622791,-0.4744493928615392,0.4764534351793943,-0.995793833835828,0.3193503269045087,
Mrpl15,73.33630306254193,0.26095063478593383,0.274290270741244,0.9513667184794378,0.3414182490569545,0.9476232049072979
Lypla1,55.25204180432581,0.0348826872046455,0.26608373209864383,0.13109665491204708,0.8956988473197476,0.9935055500003961
Tcea1,227.22114052022593,0.09865105132937761,0.2528150474569684,0.39021036256225605,0.6963809995839972,0.9802796251612313
Atp6v1h,127.15270835796795,-0.05890187171298296,0.2556381600420529,-0.23041110804151269,0.8177723303759321,0.9875772127952741
Rb1cc1,278.1173813880999,-0.09419961288334011,0.22027878328974462,-0.42763815686885404,0.668914581254298,0.9802796251612313
4732440D04Rik,7.7128533068396425,0.2626376046609985,0.6040758426754298,0.43477587764110237,0.6637251158899309,
Pcmtd1,214.3568551021039,-0.14071360694228283,0.19279442200243166,-0.7298634757208279,0.46547363988385615,0.9594655392345952
Rrs1,57.39885523752149,0.3528462226899677,0.30717714011348407,1.1486734415185047,0.2506906610912686,0.9474502956129918
Adhfe1,14.987515359808912,0.8209715558923393,0.5107810475591323,1.6072866442784306,0.10799150271467406,
Mybl1,7.417794352866745,-0.4398625013753859,0.6302738262115234,-0.6978911118986648,0.4852452932613873,
Vcpip1,89.54323832935772,-0.26711535700906147,0.2317960992682628,-1.152372097081422,0.24916820192086686,0.9474502956129918
Sgk3,14.112534107648854,-0.17084978339384002,0.45193448748195103,-0.3780410394120747,0.7054001072377589,
Snhg6,126.18764986575584,0.15180284913481076,0.26540044072854974,0.5719766279140206,0.5673378087513936,0.9749756264217859
Cops5,81.23561782511854,0.4640487712370418,0.2877496916612337,1.6126820798938133,0.10681359576140625,0.8699759935087259
Cspp1,64.25546801907377,-0.26473490236909175,0.3080043304846477,-0.8595168189763075,0.39005544485287524,0.9549827989415576
Arfgef1,126.64609407098332,-0.23054772791440753,0.2175665351527223,-1.0596653927157178,0.289296852316157,0.9474502956129918
Prex2,72.42550293035619,0.1435040436091391,0.28948722470780613,0.4957180537206257,0.6200933477304933,0.9786369094440929
Sulf1,241.14886030376923,-0.2559877808677496,0.2299471681535155,-1.1132460683179584,0.2656027620899618,0.9474502956129918
Ncoa2,71.4302873148729,-0.18428333260987284,0.25081569047271446,-0.7347360616178058,0.46250025351690727,0.9589335095447377
Tram1,338.0824793902178,-0.23908444237690793,0.1798871488279069,-1.3290801701773227,0.18382152172063848,0.9233918683956618
Lactb2,30.336342368029165,-0.6659880271636637,0.3507489855482414,-1.898759667466137,0.05759608239604225,
Gm9947,17.80718221617395,-0.720465458464156,0.45655053066384554,-1.57806290886699,0.11455115821812803,
Msc,25.82652134461722,-0.7372651576630623,0.4780097904942806,-1.54236413630922,0.12298513149951928,
Terf1,30.657258854256828,-0.12634337335276524,0.3508396162901245,-0.36011718029096923,0.7187595055054534,
Rpl7,3986.272441585546,0.24957744419215536,0.21609911036690732,1.1549212015190915,0.24812269638188833,0.9474502956129918
Rdh10,80.64575249573609,-0.484799104631667,0.26098427895094595,-1.8575797231173024,0.06322872020649832,0.7505825873738707
Stau2,21.330526494308824,-0.46381032951683077,0.38030152198116557,-1.2195857831455141,0.22262193851492695,
Ube2w,76.58874184756607,-0.11462273900267593,0.2404692187458009,-0.476662832775463,0.6336022331784985,0.9802796251612313
Eloc,282.28622136252596,0.1348590723005826,0.2543305077687405,0.5302512603922778,0.5959377346552135,0.9765223463808523
Tmem70,52.327123634050785,0.08092519779457283,0.29359135113629214,0.2756389024450704,0.7828254268747304,0.9866262364528611
Ly96,35.45125160965709,0.13043775193834184,0.348151719074171,0.3746577850748831,0.7079149917071172,
Pi15,340.61832323341457,-0.7310091804391723,0.18862867443600911,-3.8753873589201397,0.00010645521649101581,0.034372895612181785
Crispld1,8.711332736557141,-0.18988730599943027,0.599420444170882,-0.31678483416107417,0.7514068725879324,
Mcm3,14.381023264245284,-0.28719257582072377,0.45080843518496105,-0.6370612291291582,0.5240849614945293,
Tram2,87.33207343235695,-0.22373958384950152,0.23672575609795213,-0.9451425461153572,0.34458610671172696,0.9476232049072979
Tmem14a,40.43555115810481,0.3448228528699092,0.35647577024405247,0.9673107729982171,0.333388699822596,0.9474502956129918
Gsta3,104.86995811589038,0.8816463003326374,0.3097792152657674,2.846047303645762,0.0044265618687867195,0.26094014708565816
Gm29107,12.4642059174675,-0.26351973208716734,0.5168043606678651,-0.5099022998695704,0.6101199106246713,
Ogfrl1,68.55376211403772,0.07506795104776544,0.2555194142998025,0.29378570412535365,0.7689216597447347,0.9862761821949878
Smap1,325.73050916291083,-0.21438001589748448,0.2636963824191678,-0.8129804964738166,0.4162292404123925,0.9589335095447377
Sdhaf4,87.30550056881627,0.0447631047180363,0.2707717652906067,0.16531673703125638,0.8686946858243643,0.9918052810871902
Fam135a,32.196442102949185,-0.24700265189809933,0.34645816585967926,-0.71293644150428,0.4758850879187224,
Lmbrd1,166.33754820359104,-0.049145210055672385,0.2029274801278245,-0.24218114779090397,0.808639802191663,0.9875772127952741
Phf3,188.72773593248922,-0.3257960381653028,0.20141939879357582,-1.617500797424155,0.10577022368816229,0.8684490866395896
Ptp4a1,12.396508059342548,-0.4784602163747785,0.49851195681670907,-0.9597768114330242,0.3371675552471429,
Prim2,21.432661961351535,-0.22943164908134805,0.3898418481625245,-0.5885249368756797,0.5561800008544158,
Rab23,67.82955351443492,-0.24513960982685162,0.2805232964786153,-0.8738654254533152,0.3821915454565086,0.9534713840069736
Bag2,17.511022259146625,-0.19723938294913,0.4583075174111289,-0.4303647124605085,0.6669303602346381,
